143,46,The Walters ,I Love You So,65,21,,7738352,107148,622047126
144,RE,Vance Joy ,Riptide,230,16,,7733198,,935063023
145,RE,Hotel Ugly ,Shut up My Moms Calling,7,145,,7732324,,48700494
146,33,Metro Boomin ,Too Many Nights,5,33,,7639423,-111901,52317790
147,RE,The Weeknd ,The Hills,153,3,1,7631103,,928542711
148,RE,XXXTENTACION ,Revenge,44,63,,7627739,,275686972
149,43,Elley Duhé ,MIDDLE OF THE NIGHT,54,11,,7616660,11331,627303277
150,RE,Dean Lewis ,How Do I Say Goodbye,13,86,,7605738,,107874042
151,NEW,New West ,Those Eyes,1,151,,7596355,,7596355
152,RE,Arctic Monkeys ,Do I Wanna Know?,152,38,,7490746,,558585749
153,RE,Yuridia ,Qué Agonía,3,153,,7477618,,21404620
154,33,Metro Boomin ,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],5,24,,7456031,-202772,55318139
155,7,Dj LK da Escócia ,Tubarão Te Amo,5,150,,7427748,-501077,38981595
156,RE,Taylor Swift ,Blank Space,56,113,,7418734,,358038132
157,RE,Aerosmith ,Dream On,8,104,,7386665,,62419889
158,RE,Doja Cat ,Woman,75,6,,7320288,,1097358648
159,RE,Arctic Monkeys ,Why'd You Only Call Me When You're High?,59,104,,7300795,,367036130
160,RE,Feid ,CHORRITO PA LAS ANIMAS,2,160,,7282833,,14717373
161,RE,The Killers ,Mr. Brightside,138,98,,7279484,,641533983
162,RE,Black Eyed Peas ,I Gotta Feeling,2,118,,7278570,,13268660
163,RE,Lana Del Rey ,Summertime Sadness,21,94,,7270443,,156349295
164,36,Quevedo ,Playa Del Inglés,3,145,,7248585,-174087,23036892
165,RE,Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),27,26,,7233743,,276938241
166,RE,Dua Lipa ,Don't Start Now,156,2,1,7211274,,2030979431
167,RE,Bad Bunny ,Tarot,34,9,,7190240,,470238500
168,RE,The Weeknd ,Stargirl Interlude,26,42,,7189336,,172862110
169,-39,Mert Demir ,Antidepresan,5,87,,7189053,-1762389,44677599
170,RE,Dua Lipa ,Levitating,114,4,,7182989,,1561751669
171,NEW,Marília Mendonça ,Leão,1,171,,7178674,,7178674
172,RE,Mr.Kitty ,After Dark,35,112,,7173854,,243771216
173,RE,Avicii ,Wake Me Up,188,3,2,7169193,,786435839
174,RE,Olivia Rodrigo ,good 4 u,78,1,7,7145951,,1618703681
175,RE,Rauw Alejandro ,Desesperados,53,8,,7121813,,619973040
176,RE,Ed Sheeran ,Shape of You,298,1,14,7099707,,3227759495
177,RE,Shakira ,Te Felicito,34,13,,7085745,,417555401
178,RE,OneRepublic ,Counting Stars,241,3,5,7077964,,972333355
179,RE,Mora ,LA INOCENTE,24,74,,7077846,,188339481
180,NEW,RAYE ,Escapism.,1,180,,7048604,,7048604
181,RE,50 Cent ,In Da Club,13,77,,6975892,,80329014
182,RE,Taylor Swift ,"You're On Your Own, Kid",10,6,,6955426,,174292913
183,RE,Kenshi Yonezu ,KICK BACK,9,66,,6949309,,76744573
184,RE,Eminem ,Lose Yourself,207,44,,6932729,,703684632
185,RE,Billie Eilish ,TV,11,27,,6928883,,82967316
186,RE,Camila Cabello ,Bam Bam,41,5,,6888725,,571221486
187,RE,Keane ,Somewhere Only We Know,13,120,,6876234,,90755157
188,RE,KAROL G ,GATÚBELA,16,33,,6842540,,162007366
189,RE,Pritam ,Kesariya,10,71,,6840658,,77686725
190,RE,The Police ,Every Breath You Take,74,109,,6820435,,424204320
191,RE,Seafret ,Atlantis,21,63,,6815573,,175770219
192,RE,Guilherme & Benuto ,Haja Colírio,2,187,,6807866,,13580265
193,RE,Future ,WAIT FOR U,34,10,,6805425,,349455284
194,RE,Tears For Fears ,Everybody Wants To Rule The World,23,105,,6803992,,159047407
195,RE,Post Malone ,Sunflower,215,1,2,6801735,,2425355542
196,RE,Bad Bunny ,Party,33,6,,6782777,,479414025
197,RE,Freddie Dredd ,Limbo,7,158,,6775767,,51408912
198,RE,Bruno Mars ,Locked Out Of Heaven,82,45,,6758678,,335046675
199,RE,MEDUZA ,Bad Memories,2,199,,6748442,,13244341
200,RE,TWISTED ,WORTH NOTHING,5,181,,6735908,,34008257
